FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2018,0014,4,0001,314.95,193000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,1,0002,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,2,0002,629.91,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,3,0002,944.86,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,4,0002,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,1,0003,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,2,0003,629.91,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,3,0003,944.86,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,4,0003,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,1,0004,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,2,0004,629.91,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,3,0004,944.86,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0014,4,0004,314.95,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0101,1,0001,368,000000,065959,1954,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1105,000000,065959,5869,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,1842,000000,065959,9778,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,368,000000,065959,1954,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,589,070000,075959,3130,TBP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1768,070000,075959,9386,TBP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,2947,070000,075959,15646,TBP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,589,070000,075959,3130,TBP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,589,110000,112959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1768,110000,112959,9386,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,2947,110000,112959,15646,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,589,110000,112959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,368,113000,115959,1954,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1105,113000,115959,5869,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,1842,113000,115959,9778,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,368,113000,115959,1954,TBFP,TBFP,TSC,N
